29.08153,46.91428,[134019],[134019]
29.09528,46.91042,[1134019001],[1134019001]
29.12978,46.90069,[134021],[134021]
29.15836,46.89575,[1134021001],[1134021001]
21.72142,43.28372,[136681-],[136681-]
23.78214,46.51094,[136903],[136903]
27.86069,43.05719,[137102],[137102]
29.20442,46.88811,[137628],[137628]
29.22414,46.87086,[1137628001],[1137628001]
27.89464,43.21344,[138391],[138391]
25.08247,43.03181,[138394],[138394]
28.17653,44.22878,[138489],[138489]
23.77825,46.38936,[138490],[138490]
23.75767,46.38394,[138491-],[138491-]
21.23761,45.75044,[138492],[138492]
29.22428,46.87089,[138536],[138536]
29.20444,46.88817,[1138536001],[1138536001]
29.15839,46.89586,[138537],[138537]
29.12981,46.90075,[1138537001],[1138537001]
29.09519,46.9105,[138538],[138538]
29.08158,46.91433,[1138538001],[1138538001]
28.92589,46.95661,[138539-],[138539-]
28.9135,46.95008,[138540-],[138540-]
28.90644,46.97753,[138541-],[138541-]
28.85564,46.96728,[138543-],[138543-]
28.74711,46.44875,[138551-],[138551-]
21.88558,43.33061,mobil (?),[139369-]
25.503,45.66958,[140569],[140569]
20.11344,44.88222,"Batrovci-Belgrad, Streckenlänge 96 km, Mindestzeit 2 Stunden",[1141237005-]
20.11358,44.88244,"Batrovci-Belgrad, Streckenlänge 96 km, Mindestzeit 2 Stunden",[141239-]
20.38975,43.91972,"Ljig-Prelina, Streckenlänge 40 km, Mindestzeit 20 Minuten",[141242]
20.25372,44.23033,"Ljig-Prelina, Streckenlänge 40 km, Mindestzeit 20 Minuten",[1141242001]
20.25547,44.23533,"Ljig-Prelina, Streckenlänge 40 km, Mindestzeit 20 Minuten",[141243]
20.40011,43.92464,"Ljig-Prelina, Streckenlänge 40 km, Mindestzeit 20 Minuten",[1141243001]
20.85789,44.65611,[145128],[145128]
20.97031,44.23436,[153980-],[153980-]
27.60503,47.36531,[157643-],[157643-]
28.80811,47.33594,[157644-],[157644-]
20.94814,44.67925,[157703-],[157703-]
20.94542,44.70356,[158525-],[158525-]
20.90214,44.66167,[158863-],[158863-]
20.64956,44.8555,[158869-],[158869-]
29.44056,45.73975,[162990-],[162990-]
27.77617,47.24069,[164041-],[164041-]
20.91894,44.66428,[164148-],[164148-]
21.27039,44.00286,[164149-],[164149-]
21.26983,44.00531,removed (?),[164150-]
22.15308,44.46514,[164151-],[164151-]
22.15161,44.46461,[164152-],[164152-]
20.63103,44.88633,[164154-],[164154-]
20.74808,44.57508,[164155-],[164155-]
20.74328,44.57514,[164156],[164156]
20.81931,44.58386,inactive (?),[164157-]
20.96361,44.58422,inactive (?),[1164157001-]
21.02892,44.48503,inactive (?),[1164157002-]
21.72869,43.52378,[164159-],[164159-]
20.66439,44.56586,[164161-],[164161-]
20.66903,44.56597,removed (?),[164162-]
20.67828,44.832,[164165-],[164165-]
20.67806,44.83208,[164166-],[164166-]
21.11792,44.234,[165046-],[165046-]
28.75325,46.96169,[165622-],[165622-]
23.58553,43.18511,[165676],[165676]
26.65686,43.21989,[165678],[165678]
27.97347,47.37417,[166415-],[166415-]
21.11714,44.24353,[166420-],[166420-]
21.63611,47.518,[166661],[166661]
28.25475,46.41119,[167335-],[167335-]
21.11167,44.15294,[167520-],[167520-]
21.11486,44.14917,[167521-],[167521-]
